0 1.95684 0.589916
1 0.455703 1.00356
2 1.0278 1.77816
3 0.648327 0.254871
4 0.325757 1.54725
5 1.88399 1.28904
6 1.17045 0.766992
7 1.30999 1.46969
8 1.46118 1.68769
9 1.29482 1.97683
10 0.379978 1.03459
11 1.71198 0.0576458
12 1.51273 0.808723
13 0.903537 0.629805
14 1.58664 0.577924
15 0.301924 0.717033
16 1.49846 1.60013
17 1.26827 0.133884
18 1.00063 1.95557
19 0.105816 1.65764
20 1.76303 0.0186624
21 1.96214 0.204675
22 1.41545 1.92981
23 0.916907 1.15284
24 0.916799 0.899426
25 0.373396 1.1201
26 0.944739 1.67243
27 0.27852 1.73388
28 1.14621 0.593598
29 0.974124 0.0301775
30 0.663037 0.548369
31 1.85336 1.24299
